Time,Value
11/14/2016 10:13:40 PM,76
11/14/2016 10:13:50 PM,78
11/14/2016 10:14:00 PM,77
11/14/2016 10:14:10 PM,76
11/14/2016 10:14:20 PM,77
11/14/2016 10:14:35 PM,77
11/14/2016 10:14:50 PM,77
11/14/2016 10:15:00 PM,77
11/14/2016 10:15:15 PM,77
11/14/2016 10:15:20 PM,75
11/14/2016 10:15:30 PM,74
11/14/2016 10:15:40 PM,76
11/14/2016 10:15:55 PM,76
11/14/2016 10:16:00 PM,77
11/14/2016 10:16:10 PM,76
11/14/2016 10:16:25 PM,76
11/14/2016 10:16:30 PM,76
11/14/2016 10:16:40 PM,74
11/14/2016 10:16:50 PM,75
11/14/2016 10:17:00 PM,74
11/14/2016 10:17:10 PM,76
11/14/2016 10:17:20 PM,76
11/14/2016 10:17:35 PM,76
11/14/2016 10:17:50 PM,76
11/14/2016 10:18:00 PM,77
11/14/2016 10:18:10 PM,77
11/14/2016 10:18:25 PM,77
11/14/2016 10:18:40 PM,77
11/14/2016 10:18:50 PM,78
11/14/2016 10:19:05 PM,78
11/14/2016 10:19:10 PM,78
11/14/2016 10:19:25 PM,78
11/14/2016 10:19:35 PM,81
11/14/2016 10:19:40 PM,81
11/14/2016 10:19:45 PM,81
11/14/2016 10:19:55 PM,78
11/14/2016 10:20:00 PM,79
11/14/2016 10:20:05 PM,80
11/14/2016 10:20:20 PM,80
11/14/2016 10:20:35 PM,80
11/14/2016 10:20:40 PM,78
11/14/2016 10:20:50 PM,77
11/14/2016 10:21:00 PM,77
11/14/2016 10:21:10 PM,73
11/14/2016 10:21:25 PM,76
11/14/2016 10:21:40 PM,76
11/14/2016 10:21:50 PM,77
11/14/2016 10:22:00 PM,75
11/14/2016 10:22:10 PM,84
11/14/2016 10:22:20 PM,83
11/14/2016 10:22:35 PM,83
11/14/2016 10:22:40 PM,83
11/14/2016 10:22:50 PM,81
11/14/2016 10:22:55 PM,79
11/14/2016 10:23:10 PM,80
11/14/2016 10:23:25 PM,80
11/14/2016 10:23:30 PM,88
11/14/2016 10:23:40 PM,86
11/14/2016 10:23:55 PM,87
11/14/2016 10:24:00 PM,86
11/14/2016 10:24:10 PM,87
11/14/2016 10:24:20 PM,89
11/14/2016 10:24:30 PM,84
11/14/2016 10:24:40 PM,79
11/14/2016 10:24:55 PM,80
11/14/2016 10:25:00 PM,82
11/14/2016 10:25:05 PM,83
11/14/2016 10:25:10 PM,84
11/14/2016 10:25:20 PM,87
11/14/2016 10:25:30 PM,86
11/14/2016 10:25:45 PM,86
11/14/2016 10:25:50 PM,85
11/14/2016 10:26:05 PM,85
11/14/2016 10:26:10 PM,86
11/14/2016 10:26:20 PM,90
11/14/2016 10:26:35 PM,90
11/14/2016 10:26:40 PM,87
11/14/2016 10:26:45 PM,87
11/14/2016 10:26:50 PM,86
11/14/2016 10:27:05 PM,86
11/14/2016 10:27:10 PM,87
11/14/2016 10:27:25 PM,87
11/14/2016 10:27:30 PM,84
11/14/2016 10:27:45 PM,84
11/14/2016 10:27:50 PM,83
11/14/2016 10:28:00 PM,82
11/14/2016 10:28:10 PM,82
11/14/2016 10:28:15 PM,83
11/14/2016 10:28:30 PM,83
11/14/2016 10:28:45 PM,83
11/14/2016 10:29:00 PM,83
11/14/2016 10:29:15 PM,83
11/14/2016 10:29:20 PM,84
11/14/2016 10:29:30 PM,88
11/14/2016 10:29:40 PM,86
11/14/2016 10:29:55 PM,86
11/14/2016 10:30:10 PM,88
11/14/2016 10:30:15 PM,89
11/14/2016 10:30:30 PM,86
11/14/2016 10:30:40 PM,89
11/14/2016 10:30:50 PM,91
11/14/2016 10:31:00 PM,85
11/14/2016 10:31:10 PM,92
11/14/2016 10:31:25 PM,92
11/14/2016 10:31:30 PM,92
11/14/2016 10:31:45 PM,92
11/14/2016 10:31:50 PM,93
11/14/2016 10:32:00 PM,92
11/14/2016 10:32:15 PM,92
11/14/2016 10:32:20 PM,90
11/14/2016 10:32:30 PM,91
11/14/2016 10:32:45 PM,91
11/14/2016 10:33:00 PM,91
11/14/2016 10:33:15 PM,92
11/14/2016 10:33:20 PM,91
11/14/2016 10:33:25 PM,90
11/14/2016 10:33:30 PM,89
11/14/2016 10:33:35 PM,87
11/14/2016 10:33:40 PM,85
11/14/2016 10:33:45 PM,84
11/14/2016 10:33:50 PM,83
11/14/2016 10:33:55 PM,86
11/14/2016 10:34:10 PM,86
11/14/2016 10:34:15 PM,86
11/14/2016 10:34:20 PM,85
11/14/2016 10:34:25 PM,85
11/14/2016 10:34:40 PM,85
11/14/2016 10:34:55 PM,86
11/14/2016 10:35:10 PM,86
11/14/2016 10:35:15 PM,88
11/14/2016 10:35:20 PM,90
11/14/2016 10:35:25 PM,91
11/14/2016 10:35:30 PM,89
11/14/2016 10:35:35 PM,84
11/14/2016 10:35:40 PM,83
11/14/2016 10:35:45 PM,82
11/14/2016 10:35:50 PM,81
11/14/2016 10:35:55 PM,82
11/14/2016 10:36:05 PM,81
11/14/2016 10:36:10 PM,80
11/14/2016 10:36:15 PM,78
11/14/2016 10:36:20 PM,77
11/14/2016 10:36:25 PM,77
11/14/2016 10:36:30 PM,80
11/14/2016 10:36:35 PM,81
11/14/2016 10:36:40 PM,80
11/14/2016 10:36:45 PM,80
11/14/2016 10:37:00 PM,79
11/14/2016 10:37:05 PM,80
11/14/2016 10:37:10 PM,81
11/14/2016 10:37:25 PM,81
11/14/2016 10:37:35 PM,80
11/14/2016 10:37:50 PM,81
11/14/2016 10:38:00 PM,80
11/14/2016 10:38:05 PM,79
11/14/2016 10:38:15 PM,81
11/14/2016 10:38:30 PM,81
11/14/2016 10:38:45 PM,80
11/14/2016 10:38:50 PM,80
11/14/2016 10:39:05 PM,76
11/14/2016 10:39:10 PM,77
11/14/2016 10:39:20 PM,78
11/14/2016 10:39:35 PM,78
11/14/2016 10:39:50 PM,78
11/14/2016 10:39:55 PM,80
11/14/2016 10:40:10 PM,75
11/14/2016 10:40:25 PM,75
11/14/2016 10:40:30 PM,77
11/14/2016 10:40:45 PM,77
11/14/2016 10:40:50 PM,78
11/14/2016 10:41:00 PM,78
11/14/2016 10:41:15 PM,78
11/14/2016 10:41:20 PM,77
11/14/2016 10:41:35 PM,77
11/14/2016 10:41:50 PM,77
11/14/2016 10:42:00 PM,80
11/14/2016 10:42:15 PM,79
11/14/2016 10:42:30 PM,79
11/14/2016 10:42:45 PM,79
11/14/2016 10:42:55 PM,80
11/14/2016 10:43:00 PM,83
11/14/2016 10:43:05 PM,85
11/14/2016 10:43:10 PM,82
11/14/2016 10:43:15 PM,84
11/14/2016 10:43:20 PM,87
11/14/2016 10:43:25 PM,88
11/14/2016 10:43:40 PM,88
11/14/2016 10:43:45 PM,87
11/14/2016 10:44:00 PM,88
11/14/2016 10:44:05 PM,89
11/14/2016 10:44:15 PM,91
11/14/2016 10:44:20 PM,93
11/14/2016 10:44:35 PM,93
11/14/2016 10:44:40 PM,94
11/14/2016 10:44:45 PM,96
11/14/2016 10:44:50 PM,95
11/14/2016 10:45:05 PM,95
11/14/2016 10:45:10 PM,96
11/14/2016 10:45:20 PM,95
11/14/2016 10:45:35 PM,96
11/14/2016 10:45:40 PM,96
11/14/2016 10:45:45 PM,96
11/14/2016 10:45:55 PM,96
11/14/2016 10:46:00 PM,96
11/14/2016 10:46:05 PM,101
11/14/2016 10:46:10 PM,102
11/14/2016 10:46:15 PM,103
11/14/2016 10:46:30 PM,103
11/14/2016 10:46:35 PM,104
11/14/2016 10:46:50 PM,105
11/14/2016 10:47:00 PM,104
11/14/2016 10:47:10 PM,103
11/14/2016 10:47:15 PM,103
11/14/2016 10:47:20 PM,102
11/14/2016 10:47:25 PM,99
11/14/2016 10:47:30 PM,100
11/14/2016 10:47:35 PM,98
11/14/2016 10:47:40 PM,92
11/14/2016 10:47:50 PM,89
11/14/2016 10:47:55 PM,86
11/14/2016 10:48:00 PM,84
11/14/2016 10:48:15 PM,84
11/14/2016 10:48:25 PM,85
11/14/2016 10:48:40 PM,82
11/14/2016 10:48:45 PM,84
11/14/2016 10:49:00 PM,86
11/14/2016 10:49:05 PM,87
11/14/2016 10:49:10 PM,89
11/14/2016 10:49:15 PM,91
11/14/2016 10:49:20 PM,89
11/14/2016 10:49:25 PM,87
11/14/2016 10:49:40 PM,89
11/14/2016 10:49:45 PM,90
11/14/2016 10:49:50 PM,93
11/14/2016 10:49:55 PM,90
11/14/2016 10:50:00 PM,89
11/14/2016 10:50:10 PM,90
11/14/2016 10:50:15 PM,93
11/14/2016 10:50:20 PM,94
11/14/2016 10:50:25 PM,94
11/14/2016 10:50:40 PM,95
11/14/2016 10:50:55 PM,95
11/14/2016 10:51:10 PM,96
11/14/2016 10:51:15 PM,97
11/14/2016 10:51:20 PM,92
11/14/2016 10:51:25 PM,91
11/14/2016 10:51:35 PM,90
11/14/2016 10:51:40 PM,88
11/14/2016 10:51:45 PM,90
11/14/2016 10:51:50 PM,85
11/14/2016 10:51:55 PM,84
11/14/2016 10:52:05 PM,86
11/14/2016 10:52:20 PM,88
11/14/2016 10:52:25 PM,90
11/14/2016 10:52:35 PM,91
11/14/2016 10:52:45 PM,92
11/14/2016 10:52:55 PM,94
11/14/2016 10:53:00 PM,95
11/14/2016 10:53:05 PM,96
11/14/2016 10:53:10 PM,93
11/14/2016 10:53:15 PM,87
11/14/2016 10:53:30 PM,88
11/14/2016 10:53:35 PM,87
11/14/2016 10:53:40 PM,83
11/14/2016 10:53:45 PM,79
11/14/2016 10:53:50 PM,77
11/14/2016 10:53:55 PM,77
11/14/2016 10:54:00 PM,79
11/14/2016 10:54:05 PM,80
11/14/2016 10:54:10 PM,84
11/14/2016 10:54:25 PM,84
11/14/2016 10:54:30 PM,83
11/14/2016 10:54:45 PM,84
11/14/2016 10:54:50 PM,87
11/14/2016 10:54:55 PM,86
11/14/2016 10:55:00 PM,85
11/14/2016 10:55:05 PM,82
11/14/2016 10:55:10 PM,83
